Food,Rasa,Virya,Vipaka,Dosha_Effect
Rice Pulao with Vegetables,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, mild effect on Pitta"
Quinoa Bowl with Roasted Veg,"Sweet, Umami",Cooling,Sweet,"Balances Vata and Kapha, gentle on Pitta"
Aloo Gajjar Sabzi,"Sweet, Sour",Cooling,Sweet,"Calms Vata, mildly reduces Kapha when vegetables are steamed"
Tomato Hummus Toast,"Sour, Salty, Umami",Cooling,Sour,Balances Vata and Pitta; may mildly increase Kapha if heavy on oil.
Green Smoothie Bowl,"Sweet, Bitter",Cooling,Sweet,Calms Vata and Pitta; Kapha-friendly when not over-sweetened.
Pulao (Veg Biryani variant),"Sweet, Salty",Heating,Sweet,"Balances Vata and Kapha, mildly energizing Pitta"
Lentil Soup (Dal Tadka),"Sweet, Pungent, Astringent",Heating,Pungent,"Balances Vata with warmth, increases Kapha if heavy on ghee"
Aloo Gajar Matar,"Sweet, Salty, Pungent",Heating,Sweet,"Balances Vata, may increase Kapha with high starch and oil"
Rajma Masala,"Sweet, Sour, Pungent",Heating,Pungent,"Boosts Vata during prolonged cooking, increases Kapha in heavy portions"
Kung Pao Paneer,"Pungent, Sweet, Sour",Heating,Pungent,Balances Vata; increases Kapha if sugar-heavy; Pitta stable with moderate chili
Quinoa Bhel,"Sweet, Sour, Salty",Cooling,Sweet,Balances all doshas; light and digestible
Rasam (Tomato Lentil)**,"Sour, Spicy",Heating,Pungent,"Increases Vata and Pitta, balances Kapha"
Masala Omelette,"Salty, Pungent",Heating,Pungent,"Balances Vata, increases Pitta slightly"
Tom Yum Pasta (Thai-Indian fusion),"Sour, Spicy (Pungent), Salty",Heating,Pungent,"Stimulates digestion; balances Vata, may raise Kapha with coconut milk richness"
Green Coconut Chutney,"Sweet, Sour, Salty",Cooling,Sour,Balancing for Kapha and Pitta; Vata may feel cooled and calm
Beetroot Roti,"Sweet, Earthy (Astringent)",Cooling,Sweet,"Balances Vata and Kapha; stimulates circulation, gentle on digestion"
Mango Pickle Rice,"Sweet, Sour, Pungent, Salty",Heating,Pungent,Increases Kapha mildly; balances Vata and Pitta with fiber-rich mix
Rasmalai,Sweet,Cooling,Sweet,"Calms Vata, reduces Pitta when eaten sparingly"
Quinoa Kadi,"Bitter, Sour",Cooling,Sour,"Balances Vata and Pitta, mild Kapha reduction"
Mysore Masala Dosa,"Salty, Spicy",Heating,Pungent,"Increases Kapha, balances Vata when consumed in moderation"
Butter Garlic Naan,"Salty, Pungent",Heating,Pungent,"Balances Kapha, can aggravate Pitta with excessive butter"
Mahi-Mahi Tikka,"Pungent, Salty",Heating,Pungent,"Heats Pitta, may balance Kapha with seafood variety"
Gujarati Dhokla,"Sour, Sweet",Cooling,Sweet,"Heals Vata, balances Kapha"
Vegetable Stir Fry with Tofu,"Sweet, Umami",Cooling,Sweet,"Balances Vata and Kapha, subtle Pitta reduction"
Biriyani with Chicken,"Sweet, Pungent, Salty",Heating,Pungent,"Elevates Pitta, balances Vata with cooling yogurt side, increases Kapha in large portions"
Ratatouille with Moong Dal,"Sweet, Sour, Astringent",Cooling,Sour,"Calms Vata, Moderates Pitta, reduces Kapha when oil-free"
Pasta Alfredo with Vegetables,"Creamy, Salty, Sweet",Cooling,Sweet,Balances Vata; may increase Kapha if enriched with butter/cheese
Butter Chicken (Light),"Sweet, Sour, Salty",Heating,Sweet,"Increases Kapha mildly, balances Vata and Pitta in moderation"
Paneer Butter Masala with Peas,"Sweet, Salty, Sour",Heating,Sweet,Increases Kapha; balances Vata and Pitta with modest portions
Lemon Rice with Cumin,"Sour, Sweet, Pungent",Cooling,Sour,"Balances Vata and Kapha, warms Pitta slightly"
Ratatouille (Indian style),"Sweet, Sour, Umami",Cooling,Sweet,"Balances all three doshas, especially Vata and Kapha"
Gheeya Bhaat (Bottle Gourd Rice),"Sweet, Mild",Cooling,Sweet,"Balances Vata and Kapha, soothing for sensitive digestion"
Green Gram Curry (Cherupayar Pulissery),"Sweet, Sour, Astringent",Cooling,Sour,"Balances Vata and Kapha, pacifies Pitta"
Margarita Pizza (Vegetarian),"Sweet, Salty",Heating,Sweet,"Balances Kapha, slightly increases Pitta"
Channa Masala,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Vata and Kapha, slightly increases Pitta"
Tom Yum Pasta,"Salty, Sour, Pungent",Heating,Pungent,"Balances Vata, reduces Kapha"
Paneer Pakora,"Sweet, Salty, Astringent",Heating,Pungent,"Increases Kapha, supports Vata balance"
Chicken Tikka,"Pungent, Sweet",Heating,Pungent,"Increases Kapha, balances Vata with proper fats"
Beetroot Salad,"Sweet, Sour, Astringent",Cooling,Sweet,"Balances Vata and Pitta, neutral for Kapha"
Shrimp Scampi,"Sour, Salty, Umami",Cooling,Sour,"Balances Pitta, elevates Kapha if rich in butter"
Kung Pao Tofu,"Sweet, Sour, Salty",Heating,Sour,"Balances Vata, Kapha"
Falafel with Tahini,"Salty, Nutty",Cooling,Sweet,"Balances Vata and Kapha, slightly reduces Pitta"
ChiliPaneer,"Pungent, Sweet",Heating,Pungent,"Increases Kapha, balances Vata"
Spinach and Chickpea Curry,"Sweet, Pungent, Astringent",Heating,Pungent,"Balances Vata and Pitta, may increase Kapha if coconut milk is used"
Fermented Dosa Batter Idli,"Mild, Sour",Cooling,Sour,"Balances Vata, neutral for Kapha, improves gut function"
Garam Masala Potatoes,"Pungent, Sweet, Salty",Heating,Pungent,"Increases Kapha, balances Vata when served with yogurt or buttermilk"
Quinoa Veg Pilaf,"Sweet, Nutty",Cooling,Sweet,"Balances all doshas, with light Kapha balance preference"
Vegan Biryani,"Sweet, Pungent, Astringent",Heating,Pungent,"Balances Vata and Kapha, moderate Pitta adjustment"
Rasam (Tomato-Temonade Soup),"Sour, Pungent",Heating,Sour,"Balances Vata, pacifies Kapha, mildly energizes Pitta"
Mutton Korma,"Sweet, Sour, Astringent",Heating,Sweet,"Increases Kapha, elevates Pitta in heavy portions"
Sushi Platter (Salmon Nigiri),"Umami, Salty",Cooling,Sweet,"Balances Vata and Kapha, stimulates Pitta with spicy wasabi"
Pad Thai,"Sweet, Sour, Salty, Pungent",Heating,Sour,"Balances Kapha, stimulates Vata, manages Pitta with tamarind balance"
Makhani Paneer with Spinach,"Sweet, Salty",Heating,Sweet,"Balances Vata and Pitta, increases Kapha with rich cream usage"
Aloo Gosta (Aloo with Peas),"Sweet, Salty, Sour",Cooling,Sweet,"Balances Vata and Kapha, supports light digestion for Pitta"
Pulao (Vegetable Rice),"Sweet, Salty",Cooling,Sweet,"Balances Vata, Pacifies Kapha"
Rajma Chili,"Sweet, Pungent, Astringent",Heating,Pungent,"Balances Vata, increases Kapha tendency if heavy with beans"
Miso Soup,"Salty, Umami, Astringent",Cooling,Sweet,"Calms Vata, balances Kapha modestly"
Spicy Black Bean Tacos,"Pungent, Sweet, Salty",Heating,Pungent,"Stimulates Kapha and Pitta, nurtures Vata with fiber"
Paneer Tikka Skewers,"Sweet, Pungent, Salty",Heating,Pungent,"Raises Pitta slightly, supports balanced Vata with protein"
Green Moong Dal,"Sweet, Astringent",Cooling,Sweet,Balances Vata and Pitta; light for Kapha
Quinoa Veg Pulao,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, stabilizes Pitta"
Pasta Alfredo with Peas,"Creamy, Sweet, Salty",Cooling,Sweet,Balances Vata and Kapha; Pitta neutral to mild heating from pepper
Chili Con Carne (Vegetarian Style),"Spicy, Sour, Savory",Heating,Pungent,Boosts Pitta and Kapha; Vata balanced by fiber and legumes
Aloo Gajar,"Sweet, Sour",Cooling,Sweet,Balances all doshas
Gyro Wrap,"Salty, Sour, Pungent",Heating,Pungent,"Balances Kapha and Pitta, may vitiate Vata if eaten cold"
Falafel Pita,"Sweet, Salty, Sour",Cooling,Sweet,"Balances Vata, Kapha; light on Pitta when oil is moderate"
Chili Paneer Stir-Fry,"Sweet, Pungent, Salty",Heating,Pungent,"Increases Pitta, balances Kapha with vegetables and fiber"
Grilled Fish with Lemongrass,"Sour, Salty",Cooling,Sour,"Balances Pitta and Kapha, calms Vata in cooler preparations"
Tandoori Shrimp,"Salty, Pungent",Heating,Pungent,"Balances Kapha, elevates Pitta if overused"
Caprese Salad with Mozzarella,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Pitta, reduces Kapha if portioned with olive oil"
Paneer Butter Masala Pizza,"Sweet, Salty, Umami",Heating,Sweet,"Increases Kapha and Pitta, balances Vata with moderate cheese content"
Quinoa Lentil Salad,"Sweet, Astringent, Sour",Cooling,Sour,"Balances all doshas, light for Kapha, supports Vata and Pitta during hot days"
Green Curry Tofu,"Salty, Sweet, Pungent",Heating,Pungent,Balances Vata and Kapha with coconut; may raise Pitta if very spicy
Rajgira Chapati,"Sweet, Astringent",Cooling,Sweet,Balances Vata and Kapha; slightly reduces Pitta.
Steamed Dumplings,"Sweet, Neutral",Cooling,Sweet,"Balances all three doshas with gentle, steamed preparation."
Rajma Tawa Fry (With minimal oil),"Sweet, Salty, Spicy",Heating,Sweet,"Balances Vata, increases Kapha with heavy oil usage"
Rajma (Red Kidney Beans),"Sweet, Earthy",Cooling,Sweet,Balances Kapha; supports Vata and Pitta with fiber-rich protein
Tandoori Paneer Wrap,"Salty, Pungent",Heating,Pungent,Balances Vata; may increase Kapha due to dairy and oil content
Spicy Chickpea Bowl,"Pungent, Salty",Heating,Pungent,Stimulates Vata and Pitta activity; Kapha may be pacified with balance of legumes
Pulao with Nuts,"Sweet, Astringent",Cooling,Sweet,"Balances Vata, mildly pacifies Kapha with light spices"
Pho-inspired Veg Noodle,"Salty, Sour, Sweet",Cooling,Sweet,"Balances Kapha, supports Vata under cold conditions"
Grilled Tandoori Vegetables,"Salty, Sour",Heating,Sour,"Balances Vata and Kapha, may mildly reduce Pitta if spices are moderate"
Quinoa Stir-Fry,"Savory, Sweet, Sour",Cooling,Sweet,"Balances Vata and Kapha, supports Pitta management"
Butter Chicken (Paneer Version),"Sweet, Sour, Pungent",Heating,Pungent,"Increases Kapha, balances Pitta"
Jeera Rice with Lentils,"Sweet, Aromatic",Cooling,Sweet,"Balances Vata and Kapha, supports digestion for Pitta"
Rajbhog Rasgulla (Savory Variation),"Sweet, Salty",Cooling,Sweet,"Balances all doshas in moderation, avoids Kapha aggravation"
Baked Falafel with Tahini,"Salty, Bitter",Cooling,Pungent,"Balances Kapha, mildly reduces Pitta"
Chole Chana,"Sweet, Sour, Pungent",Heating,Pungent,Stimulates Pitta mildly; balances Kapha with high protein; Vata may be relieved by spicing
Lentil Daal,"Sweet, Astringent",Heating,Sweet,Nourishes Vata and Kapha; Pitta can increase if overcooked and heavily spiced
Ghee Roast Coffee Cake,"Sweet, Bitter",Heating,Sweet,Nourishes Kapha strongly; Vata balanced by ghee and nuts; Pitta watch caffeine and butter content
Pulao with Saffron,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, supports Pitta stability"
Phoed Rice with Vegetables,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Pitta, balances Kapha moderately"
Quinoa Salad with Herbs,"Sweet, Sour, Astringent",Cooling,Sweet,"Balances all doshas, particularly stabilizes Kapha"
Ratatouille with Chaat Salt,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Pitta, Slightly Stimulates Vata"
Penne Arrabbiata,"Pungent, Sour",Heating,Pungent,"Increases Vata, pacifies Kapha"
Quinoa Kofta Curry,"Sweet, Pungent",Heating,Pungent,"Balances Pitta, Pacifies Kapha"
Vegetable Paella,"Sweet, Salty, Sour",Cooling,Sweet,"Balances Kapha, Pacifies Vata"
Quinoa Salad with Mango,"Sweet, Sour, Astringent",Cooling,Sweet,Balances Vata and Pitta; lightly reduces Kapha when mango is ripe
Caprese Pasta with Basil,"Sweet, Sour, Umami",Cooling,Sweet,Balances Vata and Pitta; light on Kapha unless fatty cheese is used
Sushi Nigiri,"Sweet, Umami",Cooling,Sweet,"Balances Vata and Kapha; light on digestion, supports Pitta balance"
Butter Chicken (Indian-style),"Sweet, Salty, Sour",Heating,Sweet,"Increases Pitta, can imbalance Vata if rich"
Spicy Shrimp Tacos,"Pungent, Sour, Salty",Heating,Pungent,"Increases Pitta, balances Kapha with citrus toppings"
Mango Chutney with Rice,"Sweet, Sour, Astringent",Heating,Sweet,"Balances Kapha, stimulates Pitta with sugar and spice"
Seb Tikki (Vegetable Cutlets),"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata, pacifies Kapha"
Shrimp Curry,"Sweet, Spicy, Sour",Heating,Pungent,"Balances Kapha, supports Pitta and Vata regulation"
Tandoori Roti,"Salty, Toasted",Heating,Sweet,"Balances Vata and Kapha, mildly increases Pitta"
Rajma (Kidney Beans),"Sweet, Salty, Pungent",Heating,Pungent,"Balances Vata, increases Kapha"
Quinoa Veg Stir Fry,"Sweet, Salty, Umami",Cooling,Sweet,Balancing for Vata and Kapha; light for Pitta
Mushroom Alfredo with Spinach,"Umami, Salty, Sweet",Cooling,Sweet,"Balances Vata and Kapha, mildly pacifies Pitta when not overly rich"
Rasam (South Indian Tangy SouP),"Sour, Pungent",Heating,Pungent,"Balances Kapha, stimulates appetite and digestion"
Kofta Curry,"Sweet, Sour, Salty",Heating,Sweet,May increase Kapha; balances Vata with spices
Pesto Pasta (Vegetarian),"Sweet, Sour, Umami",Cooling,Sweet,"Balancing for Pitta, gentle for Vata, increases Kapha if portions are rich in oil"
Sushi Rice Bowl with Avocado,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Vata, can mildly aggravate Kapha if heavy avocado portion"
Black Pepper Pasta,"Pungent, Salty",Heating,Pungent,"Increases Pitta and Kapha, balances Vata when portions are modest"
Koorma (Korma),"Sweet, Nutty",Cooling,Sweet,"Pacifies Vata and Pitta, increases Kapha if heavy cream used"
Rajgira Thepla,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, gentle for Pitta"
Jowar Bajra Roti,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, Slight Pitta increase"
Methi Malai Murg,"Sweet, Bitter",Cooling,Sweet,"Balances Vata and Pitta, Mild Kapha increase"
Zucchini Pasta with Garlic,"Sweet, Pungent",Cooling,Pungent,"Balances Vata, Slight Pitta rise"
Chili Lime Tacos,"Salty, Sour, Pungent",Heating,Pungent,"Increases Kapha and Pitta, Balances Vata"
Butter Chicken (Chicken Masala),"Sweet, Salty, Sour",Heating,Sweet,"Balances Pitta, increases Kapha when rich/spicy"
Sushi Roll (vegetarian),"Umami, Sweet, Sour",Cooling,Sweet,"Balances Vata and Kapha, gentle Pitta modulation"
Tom Yum Soup (vegetarian),"Sour, Spicy (pungent)",Heating,Pungent,"Reduces Kapha, balances Vata, energizes Pitta"
Fajitas with Peppers,"Savoury, Sour",Heating,Sour,Stimulates Pitta; balances Kapha with vegetables and lean meat
Lemon Chickpea Salad,"Sour, Sweet",Cooling,Sour,Balances Vata; pacifies Kapha; light on Pitta
Butter Masala Paneer Wrap,"Sweet, Salty, Pungent",Heating,Pungent,Increases Kapha; balances Vata with dairy hydration
Grilled Halloumi with Herbs,"Salty, Sour, Umami",Cooling,Sweet,Balances Vata and Kapha; stabilizes Pitta
Butter Chicken (Chicken Curry),"Sweet, Pungent",Heating,Pungent,"Increases Pitta, Balances Vata"
Rajma Tawa,"Sweet, Sour",Heating,Sweet,"Increases Kapha, Balances Vata"
Gobi Paratha,"Sweet, Pungent",Heating,Pungent,"Increases Pitta, Balances Kapha"
Cauliflower Sabzi,"Sweet, Astringent, Bitter",Cooling,Sweet,"Balances Kapha; light on Pitta, soothing for Vata"
Fish Tikka,"Pungent, Sour",Heating,Pungent,"Balances Vata, can aggravate Pitta with excessive spice"
Paneer Spinach Roll,"Sweet, Salty",Cooling,Sweet,Balances Vata and Kapha; supports Pitta when prepared with less oil
Rajgaro Kofta,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, modestly reduces Pitta"
Spicy Lentil Soup,"Pungent, Bitter",Heating,Pungent,"Balances Vata, increases Pitta"
Kichdi,"Sweet, Salty, Astringent",Cooling,Sweet,"Balances all three doshas, reduces excess Kapha"
Makhani Dosa,"Sweet, Umami",Heating,Sweet,"Balances Vata, Calms Pitta"
Pasta Alfredo with Paneer,"Creamy, Salty",Cooling,Sweet,"Balances Vata, Calms Kapha"
Rajgira Kichdi,"Salty, Astringent",Cooling,Sweet,"Balances Vata, Reduces Kapha"
Palak Chana,"Sweet, Sour",Cooling,Sweet,"Balances Vata, Reduces Kapha"
Mushroom Jeera,"Salty, Pungent",Cooling,Pungent,"Balances Vata and Kapha, Slightly Increases Pitta"
Soyful Curry with Veggies,"Sweet, Sour, Spicy",Heating,Sour,"Increases Pitta, Balances Kapha"
Daali Chawal (Rice with Lentils),"Sweet, Sour, Salty",Heating,Sour,"Balances Kapha and Pitta, light on Vata when cooked with ghee"
Quinoa Salad with Beans,"Sweet, Sour",Cooling,Sweet,"Balances Vata and Kapha, light for Pitta"
Ghee Roast Chicken,"Salty, Umami, Sweet",Heating,Sweet,"Balances Vata, increases Pitta"
Mutton Curry,"Spicy (Pungent), Salty, Sour",Heating,Pungent,"Increases Vata and Pitta, reduces Kapha slightly"
Ratatouille with Chilli,"Sweet, Sour, Bitter",Cooling,Sweet,"Balances Vata and Kapha, mildly increases Pitta"
Butter Lettuce Wraps,"Sweet, Salty, Astringent",Cooling,Sweet,Balances all three doshas with gentle emphasis on Vata
Chole with Rice,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Kapha, Pitta"
Sushi,"Umami, Salty",Cooling,Sweet,"Balances Kapha, Pitta"
Paneer Burji,"Salty, Sweet",Cooling,Sweet,"Balances Vata, Kapha"
Pho Soup (Vietnamese),"Sweet, Umami, Salty",Cooling,Sweet,"Balances Vata and Kapha, soothing for Pitta"
Green Gram Dosa,"Sweet, Astringent, Pungent",Heating,Pungent,"Balances Vata, reduces Kapha when cooked with spices"
Dal Bukhara,"Sweet, Bitter",Cooling,Sweet,Balances Vata; can mildly reduce Kapha when paired with spices
Smoked Salmon Sushi,"Salty, Sour, Umami",Cooling,Sour,Balances Kapha; can relax Vata with balanced portions
Spicy Tofu Stir-fry,"Pungent, Sweet",Heating,Pungent,Increases Kapha and Pitta; supports Vata balance with sesame oil usage
Ghevar with Milk,"Sweet, Rich",Cooling,Sweet,Balances Vata and Kapha; supports Pitta moderation when eaten sparingly
Butter Paneer Naan Burger,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata, elevates Kapha slightly"
Dal Tajine,"Sweet, Sour, Salty",Heating,Sour,"Balances Vata, reduces Kapha, supports Pitta calm"
Roti with Guacamole,"Salty, Sour, Sweet",Cooling,Sweet,"Balances Vata and Kapha, stabilizes Pitta"
Rajma Chowder,"Sweet, Salty",Cooling,Sweet,Balances Vata; mildly calms Kapha and Pitta when lightly seasoned
Tandoori Chicken (Marinated),"Pungent, Salty, Sour",Heating,Pungent,Increases Pitta; balances Vata with dairy accompaniment
Pasta Aglio e Olio,"Salty, Pungent",Heating,Pungent,"Balances Vata, mild Kapha increase"
Butter Paneer Masala Pasta,"Sweet, Salty, Rich",Heating,Sweet,"Balances Vata, increases Kapha, supports Pitta metabolism"
Vindaloo Curry,"Pungent, Sour",Heating,Sour,"Increases Pitta, reduces Kapha"
Ghee Rice with Nuts,"Sweet, Rich",Cooling,Sweet,"Balances Vata, pacifies Pitta"
Spinach Chole,"Sweet, Salty, Bitter",Cooling,Sweet,"Balances Vata, mildly increases Kapha, neutral for Pitta"
Thai Green Curry (Vegetarian),"Spicy, Sour, Sweet",Heating,Pungent,"Balances Kapha, reduces Vata, elevates Pitta in large portions"
Ratatouille with Yogurt,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Vata and Kapha, lightly stimulates Pitta"
Paneer Butter Masala Burger,"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata and Pitta, increases Kapha when overconsumed"
Mulligatawny Soup,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Vata, reduces Kapha, supports digestion"
Dosa with Coconut Chutney,"Coconut sweetness, Spicy",Cooling,Sweet,"Balances Vata, pacifies Kapha, supports Pitta in moderation"
Rasam (Tomato Rasam),"Sour, Pungent",Heating,Sour,"Balances Vata and Pitta, Reduces Kapha"
Pasta Alfredo (Creamy),"Sweet, Fatty",Cooling,Sweet,Balances Vata; may increase Kapha due to richness
Poha,"Sweet, Salty",Cooling,Sweet,"Calms Vata, balances Kapha; light for Pitta"
Sushi Roll with Avocado,"Sweet, Umami",Cooling,Sweet,"Balancing Vata, gentle for Pitta, Kapha-neutral"
Spinach Quiche,"Sweet, Salty",Cooling,Sweet,"Balances Kapha, supports Vata and Pitta gently"
Pulao with Mixed Veg,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata, pacifies Pitta, mild Kapha rise"
Roti with Garlic Chutney,"Pungent, Salty",Heating,Pungent,"Stimulates Pitta, balances Kapha, light on Vata"
Spinach Quinoa Bowl,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, supports Pitta control"
Grilled Fish Tikka,"Salty, Pungent",Heating,Pungent,"Balances Vata; regulates Pitta, may reduce Kapha when paired with greens"
Tofu Stir-Fry with Veg,"Sweet, Salty, Sour",Cooling,Sweet,"Balances Vata and Kapha, gentle on Pitta"
Chili Lemon Rice,"Sour, Spicy, Salty",Heating,Pungent,"Increases Pitta and Kapha, balances Vata with acidity"
Paneer Kofta,"Sweet, Astringent",Cooling,Sweet,"Balances all doshas, with gentle Kapha elevation"
Tom Yum Noodle Soup,"Sour, Spicy (Pungent)",Heating,Sour,"Balances Kapha, Reduces Vata"
Grilled Lemon Garlic Shrimp,"Sour, Salty, Astringent",Cooling,Sour,"Balances Kapha, Reduces Pitta"
Saag Aloo with Tempeh,"Sweet, Bitter, Astringent",Cooling,Sweet,"Balances Vata and Kapha, mild Pitta impact"
Biriyani with Raita,"Sweet, Sour, Spicy",Heating,Sweet,"Increases Kapha, balances Vata"
Garam Masala Paneer Wrap,"Sweet, Salty, Spicy",Heating,Pungent,Balances Vata; increases Kapha and Pitta slightly
Kale Pulao with Chickpeas,"Salty, Sour, Sweet",Cooling,Sweet,"Balances Vata and Pitta, reduces Kapha"
Lentil Dal with Turmeric,"Sweet, Bitter, Astringent",Heating,Sweet,"Balances Vata, reduces Kapha, Pitta balanced"
Spicy Chickpea Curry,"Sweet, Sour, Spicy",Heating,Pungent,"Increases Pitta, balances Vata, reduces Kapha"
Greek Salad with Feta,"Salty, Sour, Astringent",Cooling,Sour,"Balances Vata and Kapha, slight Pitta increase"
Green Gram Salad,"Astringent, Bitter",Cooling,Sour,"Balances Vata, reduces Kapha, cools Pitta"
Tomato Basil Soup with Grilled Cheese,"Sweet, Sour, Salty",Cooling,Sour,Calms Vata and Kapha; light for Pitta
Paneer Butter Masala with Naan,"Sweet, Salty, Pungent",Heating,Pungent,Heats Kapha and Pitta slightly; balances Vata with dairy
Shakshuka (Eggs with Tomato Pepper sauce),"Sweet, Sour",Heating,Sour,"Balances Kapha, Increases Pitta with excess oil"
Baingan Bharta (Smoked Eggplant Mash),"Sweet, Pungent, Bitter",Cooling,Pungent,"Balances Vata, Mildly increases Kapha with oil use"
Quinoa Kathi Roll,"Sweet, Sour, Salty",Cooling,Sweet,Balances Vata and Kapha; Pitta remains stable with balanced spices
Seafood Paella,"Salty, Umami",Heating,Sweet,Balances Pitta; supports Vata with light olive oil use
Quinoa Pilaf with Vegetables,"Sweet, Astringent",Cooling,Sweet,Balances all doshas; especially Vata and Kapha when mixed with legumes
Mushroom Risotto (Indian style),"Creamy, Umami, Salty",Cooling,Sweet,"Balances Vata, Neutral for Pitta and Kapha"
Butter Garlic Pasta,"Sweet, Pungent",Cooling,Pungent,"Balances Vata, elevates Kapha with dairy richness"
Garam Masala Chai,"Sweet, Astringent",Heating,Sweet,"Stimulates Kapha, warms Vata, steady for Pitta"
Murmura Bhaji,"Salty, Sweet",Heating,Sweet,"Balances Vata, pacifies Kapha when cooked with vegetables"
Roti with Lentil Curry,"Salty, Sweet",Cooling,Sweet,"Balances Vata, Pitta; stabilizes Kapha when portions are moderate"
Rajpaneer Wrap,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Cauliflower Rice Bowl,"Sweet, Nutty",Cooling,Sweet,"Balances Vata and Kapha, supports Pitta control"
Paneer Fried Rice,"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata, mildly elevates Kapha"
Rasam (Tomato Sambhar),"Sour, Salty, Pungent",Heating,Sour,"Balances Vata and Pitta, reduces Kapha"
Quinoa Pulses Salad,"Sweet, Sour, Astringent",Cooling,Sweet,Balances all doshas
Spicy Szechuan Noodles,"Sweet, Pungent, Salty",Heating,Pungent,"Increases Vata and Kapha, stimulates digestion; may aggravate Pitta"
Sea Bass with Herb Rub,"Salty, Sour",Cooling,Sour,"Balances Vata and Pitta, gentle on Kapha"
Prawn Biryani,"Sweet, Spicy, Salty",Heating,Sweet,"Balances all doshas with richness, may elevate Kapha"
Tandoori Chicken (Tofu-based),"Pungent, Salty",Heating,Pungent,"Balances Kapha, Slightly increases Pitta, stabilizes Vata"
Lentil Dahl (Dal Fry),"Sweet, Pungent, Astringent",Heating,Pungent,"Pacifies Vata, balances Kapha, elevates Pitta slightly with chilies"
Caprese Salad (Indian twist with Paneer),"Sweet, Sour, Bitter",Cooling,Sweet,Balances all three doshas; gentle Vata pacifier
Rajgira Dosa,"Sour, Pungent",Heating,Pungent,"Balances Kapha, stabilizes Vata, improves Pitta when not over-spiced"
Cauliflower Gratin,"Salty, Sweet, Sour",Heating,Sweet,"Balances Vata and Pitta, increases Kapha with cheese content"
Grilled Paneer Wrap,"Salty, Sweet, Astringent",Heating,Sweet,Balances Vata; can increase Kapha and mildly elevate Pitta with cheese
Raj Patha Biryani,"Sweet, Pungent, Astringent",Heating,Pungent,"Balances Vata, increases Kapha, regulates Pitta through spice content"
Shakshuka with Indian Twist,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Pitta, light on Kapha"
Cauliflower Bhindi,"Sweet, Sour, Astringent",Cooling,Sweet,Balances all three doshas with gentle effects
Tandoori Chicken Paneer Wrap,"Spicy, Salty, Sour",Heating,Pungent,"Pacifies Vata, Balances Pitta"
Aubergine Biryani,"Sweet, Spicy, Astringent",Heating,Pungent,"Balances Kapha with Vata, moderates Pitta through cooling yogurt"
Spicy Szechuan Tofu,"Pungent, Sour",Heating,Pungent,Stimulates Kapha and Pitta; reduces Vata through heat and spice balance
Samosa (vegetable),"Sweet, Salty, Pungent",Heating,Pungent,Increases Kapha and Pitta with fried filling; Vata neutral or slightly aggravated by heavy pastry
Mizo Chicken Curry,"Pungent, Sour",Heating,Pungent,Stimulates Pitta and Kapha; balances Vata with warmth and spices
Creamy Pasta Alfredo,"Sweet, Salty",Cooling,Sweet,Balances Vata; may increase Kapha if rich cream and cheese are used; Pitta neutral
Keema Pulao,"Salty, Umami, Pungent",Heating,Pungent,Raises Pitta with spiced meat; balances Vata when paired with vegetables
Tandoori Chicken (tofu variant),"Spicy, Salty",Heating,Pungent,"Stimulates Pitta and Kapha, calms Vata with cooling yogurt accompaniment"
Roti with Curry Vegetables,"Sweet, Salty",Cooling,Sweet,Balances all doshas with fiber-rich vegetables and whole grains
Mango Chaat,"Sweet, Sour, Salty",Cooling,Sweet,"Pacifies Vata, mildly increases Kapha with sugar syrup"
Aloo Tikki,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Vata; stimulates Agni, may increase Kapha"
Cucumber Raita,"Sweet, Salty, Bitter",Cooling,Sweet,Balances Vata and Pitta; reduces Kapha tendency
Sev Puri,"Salty, Sour, Sweet",Heating,Sweet,Increases Kapha; balances Vata with crunchy textures
